,user,item,rating
90169,782,245,4
90170,782,1254,3
90171,592,688,1
90172,661,180,5
90173,721,876,3
90174,323,156,5
90175,94,997,4
90176,923,129,5
90177,250,202,4
90178,454,602,2
90179,795,203,3
90180,816,271,4
90181,116,127,5
90182,492,699,3
90183,193,347,4
90184,782,1088,2
90185,776,657,3
90186,896,183,4
90187,840,89,5
90188,501,544,4
90189,825,866,4
90190,627,690,5
90191,905,879,3
90192,13,882,3
90193,807,50,5
90194,916,566,3
90195,527,318,3
90196,12,127,4
90197,708,289,4
90198,796,559,3
90199,398,483,5
90200,592,1142,5
90201,393,9,4
90202,788,135,3
90203,328,715,2
90204,627,89,5
90205,907,71,5
90206,894,93,4
90207,374,823,1
90208,886,117,2
90209,374,181,3
90210,826,210,5
90211,910,25,3
90212,508,186,3
90213,901,210,4
90214,927,374,4
90215,659,79,4
90216,898,272,4
90217,920,288,3
90218,766,530,4
90219,328,167,3
90220,591,603,5
90221,813,270,5
90222,915,752,3
90223,834,287,2
90224,833,298,5
90225,932,478,4
90226,936,410,3
90227,896,68,3
90228,892,129,3
90229,183,50,2
90230,938,1254,1
90231,911,443,4
90232,727,128,4
90233,939,9,5
90234,706,117,4
90235,884,462,4
90236,870,693,4
90237,892,419,3
90238,860,307,3
90239,854,249,3
90240,880,147,4
90241,930,1048,2
90242,896,402,4
90243,872,930,3
90244,890,162,4
90245,936,6,5
90246,707,507,5
90247,830,134,3
90248,670,1299,4
90249,864,559,4
90250,805,810,2
90251,878,702,1
90252,870,9,5
90253,896,274,2
90254,591,283,4
90255,506,12,5
90256,655,61,3
90257,482,258,2
90258,882,1116,4
90259,899,684,3
90260,782,1670,3
90261,722,696,4
90262,931,315,5
90263,658,919,2
90264,774,597,2
90265,244,193,4
90266,588,216,5
90267,786,484,4
90268,660,257,4
90269,788,736,3
90270,435,55,5
90271,943,194,5
90272,864,194,4
90273,881,25,3
90274,537,980,3
90275,881,515,4
90276,763,317,3
90277,706,24,3
90278,430,303,4
90279,489,879,5
90280,590,137,5
90281,806,226,3
90282,676,286,4
90283,889,294,3
90284,38,768,5
90285,587,988,2
90286,758,640,5
90287,387,568,2
90288,871,1430,3
90289,716,489,4
90290,661,471,4
90291,829,1,4
90292,922,51,4
90293,95,631,4
90294,650,258,3
90295,844,222,3
90296,719,402,4
90297,748,4,4
90298,249,844,5
90299,643,357,5
90300,680,151,5
90301,450,366,3
90302,711,306,5
90303,425,50,5
90304,781,172,5
90305,903,1142,5
90306,673,898,3
90307,940,516,4
90308,844,919,3
90309,425,27,3
90310,457,208,4
90311,864,678,4
90312,659,655,4
90313,883,955,5
90314,929,423,4
90315,839,864,3
90316,790,80,2
90317,539,163,4
90318,714,9,3
90319,405,1529,1
90320,759,24,3
90321,723,178,3
90322,827,938,3
90323,330,82,4
90324,92,597,2
90325,711,200,4
90326,940,302,4
90327,807,393,4
90328,497,926,2
90329,592,518,5
90330,804,642,3
90331,238,237,3
90332,733,297,3
90333,846,213,3
90334,924,427,4
90335,560,22,2
90336,705,377,4
90337,898,315,5
90338,659,1044,4
90339,428,310,4
90340,766,71,3
90341,429,936,4
90342,711,387,4
90343,907,313,5
90344,551,143,4
90345,330,468,5
90346,887,142,1
90347,889,433,4
90348,213,288,4
90349,933,210,3
90350,882,1052,2
90351,393,315,5
90352,422,323,3
90353,851,332,1
90354,429,177,4
90355,940,651,4
90356,731,494,3
90357,541,623,3
90358,496,206,4
90359,868,114,5
90360,806,231,3
90361,904,202,2
90362,940,269,4
90363,656,300,2
90364,796,8,5
90365,878,515,4
90366,622,725,3
90367,766,1050,3
90368,632,203,3
90369,567,83,4
90370,823,42,4
90371,865,1240,5
90372,892,184,4
90373,224,729,3
90374,273,896,4
90375,938,508,4
90376,446,300,3
90377,840,756,4
90378,716,168,5
90379,804,182,4
90380,781,134,5
90381,896,128,4
90382,479,647,5
90383,933,665,1
90384,902,326,3
90385,870,382,3
90386,798,734,3
90387,527,134,5
90388,885,99,4
90389,883,1005,5
90390,883,778,4
90391,782,256,2
90392,790,203,4
90393,815,121,2
90394,825,844,2
90395,840,501,4
90396,499,258,2
90397,904,603,4
90398,435,818,2
90399,929,205,4
90400,933,186,4
90401,871,82,3
90402,916,568,4
90403,592,282,4
90404,764,531,5
90405,863,286,5
90406,880,384,3
90407,655,111,2
90408,899,603,4
90409,878,584,4
90410,871,331,3
90411,567,489,5
90412,655,357,4
90413,870,196,3
90414,114,172,5
90415,883,204,4
90416,181,370,2
90417,852,264,3
90418,758,61,3
90419,601,387,3
90420,537,173,4
90421,713,690,1
90422,870,477,4
90423,883,12,4
90424,506,85,3
90425,940,100,3
90426,883,285,5
90427,256,21,4
90428,405,170,1
90429,737,160,4
90430,756,983,2
90431,678,300,4
90432,846,802,2
90433,884,1018,2
90434,749,546,3
90435,855,475,4
90436,633,654,3
90437,622,172,5
90438,554,77,4
90439,851,176,4
90440,125,763,3
90441,121,315,4
90442,886,693,4
90443,572,813,4
90444,505,82,4
90445,435,235,4
90446,923,713,5
90447,624,282,4
90448,405,1573,1
90449,709,540,3
90450,844,421,4
90451,472,208,5
90452,663,13,3
90453,346,226,3
90454,788,528,5
90455,450,1518,4
90456,27,1017,4
90457,790,475,3
90458,846,432,3
90459,897,402,5
90460,280,411,3
90461,919,250,3
90462,904,794,4
90463,417,1411,3
90464,25,177,3
90465,795,405,1
90466,851,689,3
90467,715,233,3
90468,892,487,5
90469,222,223,4
90470,753,187,3
90471,868,1188,1
90472,620,1091,4
90473,903,79,4
90474,665,931,3
90475,809,315,5
90476,758,419,4
90477,561,925,3
90478,862,559,4
90479,911,153,5
90480,533,44,4
90481,939,280,5
90482,868,317,5
90483,749,139,4
90484,627,276,2
90485,934,213,4
90486,663,1067,3
90487,766,132,4
90488,786,50,4
90489,548,98,5
90490,267,89,5
90491,788,172,3
90492,593,179,5
90493,479,15,3
90494,653,232,2
90495,453,67,4
90496,870,710,3
90497,933,56,5
90498,634,225,3
90499,864,81,3
90500,7,317,4
90501,881,229,4
90502,94,721,2
90503,927,278,1
90504,934,99,3
90505,897,40,3
90506,529,689,2
90507,707,504,1
90508,937,50,5
90509,887,50,5
90510,778,246,2
90511,854,175,4
90512,159,597,5
90513,308,1118,4
90514,773,251,3
90515,868,550,4
90516,254,135,5
90517,217,825,3
90518,484,161,4
90519,643,234,4
90520,629,200,4
90521,450,405,4
90522,494,127,5
90523,751,99,4
90524,738,197,4
90525,829,258,3
90526,663,948,4
90527,788,662,4
90528,276,469,4
90529,524,1184,3
90530,916,535,3
90531,398,662,2
90532,73,514,4
90533,854,168,4
90534,529,260,4
90535,429,562,2
90536,795,39,4
90537,445,879,2
90538,880,1217,3
90539,704,100,4
90540,882,99,5
90541,162,28,4
90542,430,298,3
90543,201,45,2
90544,906,286,5
90545,74,300,3
90546,862,678,4
90547,181,287,2
90548,889,83,4
90549,524,418,1
90550,63,294,2
90551,226,23,3
90552,144,183,4
90553,919,334,4
90554,917,248,4
90555,395,288,2
90556,825,25,4
90557,883,430,5
90558,880,1244,3
90559,342,1011,3
90560,430,297,4
90561,670,419,4
90562,833,645,3
90563,72,770,4
90564,756,222,2
90565,738,930,3
90566,343,735,5
90567,452,71,3
90568,782,1257,1
90569,392,875,3
90570,646,323,3
90571,655,603,4
90572,894,276,5
90573,663,984,3
90574,738,1,5
90575,709,65,2
90576,938,456,1
90577,901,1,5
90578,329,322,3
90579,815,837,5
90580,933,735,3
90581,617,854,1
90582,934,732,5
90583,405,466,1
90584,642,812,4
90585,504,739,3
90586,887,13,1
90587,932,77,2
90588,892,64,4
90589,778,405,3
90590,437,248,2
90591,804,504,3
90592,883,584,3
90593,721,204,5
90594,794,137,5
90595,796,245,3
90596,894,268,3
90597,429,300,3
90598,831,688,1
90599,553,527,3
90600,250,159,4
90601,851,310,5
90602,60,141,3
90603,586,56,5
90604,798,1503,3
90605,244,1012,2
90606,582,313,5
90607,833,448,3
90608,570,340,3
90609,788,230,3
90610,833,980,3
90611,320,51,5
90612,529,300,4
90613,911,451,2
90614,753,316,4
90615,892,1091,2
90616,505,648,4
90617,38,413,1
90618,650,639,3
90619,849,118,5
90620,703,926,4
90621,793,222,3
90622,178,223,4
90623,522,180,5
90624,571,181,4
90625,853,880,5
90626,936,235,3
90627,922,576,4
90628,796,216,5
90629,749,226,4
90630,846,778,4
90631,234,843,2
90632,864,164,4
90633,293,73,2
90634,314,568,5
90635,823,503,5
90636,846,497,5
90637,506,455,3
90638,867,191,5
90639,630,568,4
90640,537,499,3
90641,252,124,5
90642,921,400,4
90643,882,411,3
90644,297,659,4
90645,710,100,4
90646,267,959,3
90647,378,82,4
90648,877,52,4
90649,886,180,5
90650,486,281,3
90651,932,1116,4
90652,75,866,2
90653,577,22,5
90654,399,919,2
90655,880,401,3
90656,892,238,4
90657,660,523,3
90658,913,100,3
90659,85,663,5
90660,546,892,4
90661,620,588,5
90662,457,252,4
90663,932,447,3
90664,378,204,4
90665,918,72,1
90666,715,713,4
90667,629,326,3
90668,908,79,4
90669,244,56,5
90670,299,510,5
90671,416,926,2
90672,608,234,5
90673,805,645,5
90674,919,304,4
90675,665,237,3
90676,761,282,4
90677,588,151,4
90678,775,315,5
90679,314,1048,4
90680,690,127,4
90681,293,66,2
90682,746,174,5
90683,886,58,4
90684,443,948,1
90685,617,200,5
90686,234,768,2
90687,450,415,3
90688,537,953,3
90689,903,240,4
90690,787,691,4
90691,493,959,2
90692,234,699,3
90693,783,294,3
90694,666,50,3
90695,877,463,4
90696,675,223,1
90697,230,10,3
90698,524,493,4
90699,860,287,3
90700,666,100,4
90701,450,232,4
90702,719,294,2
90703,295,941,4
90704,648,286,1
90705,868,207,3
90706,416,1136,4
90707,416,624,3
90708,429,583,3
90709,758,43,3
90710,932,470,3
90711,748,79,4
90712,468,143,5
90713,448,288,1
90714,459,1014,1
90715,269,673,4
90716,717,1051,3
90717,816,678,4
90718,43,143,4
90719,872,294,3
90720,846,99,4
90721,693,228,2
90722,670,161,2
90723,328,481,3
90724,470,742,4
90725,916,58,5
90726,756,88,1
90727,863,348,2
90728,374,732,4
90729,661,298,3
90730,405,1090,1
90731,349,459,4
90732,535,135,3
90733,679,111,3
90734,877,155,2
90735,296,659,5
90736,551,33,5
90737,790,168,4
90738,843,197,2
90739,833,467,2
90740,939,680,2
90741,159,15,5
90742,833,230,1
90743,751,738,4
90744,896,51,2
90745,327,250,2
90746,303,1209,2
90747,594,276,3
90748,790,283,2
90749,246,175,4
90750,933,411,2
90751,643,172,5
90752,591,511,3
90753,201,33,4
90754,889,147,3
90755,592,591,4
90756,6,237,2
90757,425,684,2
90758,655,1448,3
90759,268,449,2
90760,41,514,4
90761,130,203,4
90762,435,10,5
90763,7,164,5
90764,757,1014,3
90765,880,731,4
90766,90,491,4
90767,536,95,5
90768,445,1378,2
90769,362,678,2
90770,695,302,4
90771,407,189,4
90772,889,124,4
90773,538,58,4
90774,621,62,4
90775,858,754,4
90776,664,525,4
90777,846,212,5
90778,479,200,5
90779,910,124,3
90780,825,1051,4
90781,591,4,4
90782,887,471,3
90783,747,1041,4
90784,330,627,5
90785,936,244,4
90786,286,183,4
90787,859,410,4
90788,422,234,4
90789,872,717,4
90790,679,751,5
90791,835,514,3
90792,941,298,5
90793,378,728,3
90794,14,524,5
90795,682,48,4
90796,748,300,4
90797,877,531,5
90798,635,742,3
90799,567,303,3
90800,727,147,3
90801,463,286,4
90802,382,252,2
90803,846,181,5
90804,846,271,5
90805,174,98,5
90806,429,11,4
90807,921,762,2
90808,664,317,3
90809,694,241,3
90810,892,760,3
90811,870,713,4
90812,815,659,5
90813,539,215,4
90814,940,709,5
90815,918,1639,5
90816,830,399,5
90817,435,79,4
90818,757,188,3
90819,586,551,2
90820,514,268,4
90821,727,366,3
90822,918,1195,4
90823,851,597,4
90824,897,290,4
90825,435,155,3
90826,267,181,5
90827,222,465,2
90828,296,462,4
90829,543,47,3
90830,807,484,4
90831,790,568,3
90832,919,148,3
90833,774,674,2
90834,799,331,4
90835,224,526,4
90836,92,108,2
90837,455,744,3
90838,721,237,3
90839,892,525,5
90840,588,50,5
90841,881,580,5
90842,666,129,4
90843,588,403,3
90844,201,737,2
90845,582,473,3
90846,919,82,5
90847,405,621,1
90848,885,188,3
90849,606,1011,3
90850,671,654,3
90851,916,117,2
90852,851,1051,2
90853,618,1163,2
90854,741,216,4
90855,878,485,3
90856,846,182,5
90857,705,117,5
90858,786,188,5
90859,890,663,4
90860,585,286,4
90861,657,508,4
90862,318,941,4
90863,885,393,3
90864,239,179,5
90865,745,302,4
90866,803,264,2
90867,615,14,5
90868,889,239,4
90869,880,96,4
90870,731,202,5
90871,397,591,4
90872,474,126,4
90873,884,638,4
90874,883,338,4
90875,849,207,5
90876,648,151,2
90877,472,603,5
90878,588,720,4
90879,767,648,4
90880,864,625,4
90881,939,591,5
90882,413,100,4
90883,885,111,4
90884,398,283,3
90885,270,118,3
90886,916,674,3
90887,886,265,4
90888,864,563,3
90889,784,260,4
90890,435,953,3
90891,886,15,3
90892,599,866,2
90893,886,659,4
90894,776,679,4
90895,200,465,4
90896,676,483,4
90897,682,1228,1
90898,897,121,5
90899,880,761,4
90900,43,731,4
90901,449,213,3
90902,643,82,3
90903,529,690,3
90904,896,1045,3
90905,935,282,4
90906,592,99,5
90907,768,274,3
90908,804,951,3
90909,289,109,3
90910,655,1311,3
90911,794,273,4
90912,697,263,1
90913,815,190,5
90914,889,919,5
90915,868,547,3
90916,795,1,4
90917,660,182,2
90918,503,185,5
90919,727,399,3
90920,380,1101,4
90921,345,210,4
90922,189,185,5
90923,892,62,4
90924,862,483,5
90925,497,42,4
90926,716,234,5
90927,828,288,3
90928,880,24,3
90929,831,271,2
90930,758,616,4
90931,796,43,4
90932,942,265,5
90933,659,1021,5
90934,932,600,2
90935,886,92,3
90936,833,47,5
90937,491,493,4
90938,115,100,5
90939,886,959,3
90940,634,845,3
90941,588,234,5
90942,121,11,2
90943,883,863,3
90944,80,887,4
90945,201,705,3
90946,795,10,4
90947,943,1044,3
90948,793,3,4
90949,545,684,4
90950,311,781,2
90951,889,258,4
90952,665,121,2
90953,933,166,3
90954,633,195,4
90955,347,260,1
90956,910,118,3
90957,416,330,3
90958,754,1197,3
90959,747,644,5
90960,13,778,3
90961,757,449,3
90962,535,504,3
90963,938,597,3
90964,634,245,3
90965,710,420,4
90966,393,586,3
90967,181,1341,1
90968,209,293,4
90969,617,671,4
90970,880,588,4
90971,741,178,5
90972,312,484,5
90973,843,1,3
90974,655,93,3
90975,118,234,5
90976,897,235,3
90977,532,98,5
90978,934,1411,4
90979,814,667,2
90980,294,255,3
90981,782,880,4
90982,763,1180,2
90983,488,134,2
90984,524,429,2
90985,707,462,4
90986,895,294,4
90987,145,249,4
90988,818,258,4
90989,901,423,4
90990,853,340,1
90991,758,433,5
90992,758,447,4
90993,180,181,2
90994,541,709,5
90995,654,223,4
90996,860,712,3
90997,880,248,4
90998,487,178,5
90999,830,49,5
91000,887,378,5
91001,46,262,5
91002,842,340,5
91003,918,168,3
91004,880,234,5
91005,540,147,3
91006,655,1388,3
91007,823,52,3
91008,239,1065,5
91009,815,1133,3
91010,648,527,4
91011,592,1166,3
91012,528,250,3
91013,864,232,4
91014,841,1294,5
91015,26,936,4
91016,796,64,4
91017,887,1013,4
91018,145,218,3
91019,901,151,3
91020,918,196,3
91021,727,1185,1
91022,758,293,3
91023,942,310,4
91024,601,195,3
91025,44,181,4
91026,567,56,4
91027,889,385,3
91028,326,131,2
91029,932,487,3
91030,734,821,2
91031,885,420,4
91032,743,340,3
91033,654,12,5
91034,868,429,2
91035,774,566,2
91036,532,840,4
91037,299,49,4
91038,534,282,5
91039,513,121,5
91040,788,62,3
91041,716,708,4
91042,940,258,5
91043,38,627,5
91044,827,332,3
91045,596,50,5
91046,682,721,4
91047,533,451,2
91048,894,875,3
91049,383,528,4
91050,682,180,3
91051,537,1011,3
91052,892,418,4
91053,265,273,5
91054,894,961,4
91055,225,478,5
91056,642,928,5
91057,938,288,5
91058,401,482,4
91059,805,191,4
91060,402,408,5
91061,815,133,5
91062,833,378,3
91063,514,87,5
91064,559,521,2
91065,774,743,1
91066,561,709,3
91067,324,508,5
91068,880,930,2
91069,916,125,3
91070,409,79,4
91071,790,258,3
91072,938,225,4
91073,693,566,2
91074,919,315,3
91075,776,603,4
91076,796,1032,3
91077,804,413,4
91078,506,196,4
91079,924,200,4
91080,880,81,4
91081,725,748,4
91082,375,1046,2
91083,836,900,2
91084,846,381,4
91085,934,163,4
91086,919,28,4
91087,899,179,2
91088,795,72,3
91089,653,1136,2
91090,579,523,3
91091,917,751,2
91092,888,111,4
91093,405,665,1
91094,870,690,2
91095,634,696,4
91096,180,655,5
91097,758,66,3
91098,757,931,2
91099,846,638,4
91100,537,591,3
91101,383,124,4
91102,747,517,5
91103,871,182,5
91104,243,77,3
91105,686,22,5
91106,922,258,4
91107,646,880,3
91108,48,193,2
91109,532,864,4
91110,653,620,3
91111,533,508,4
91112,608,514,5
91113,922,67,3
91114,855,510,4
91115,111,304,4
91116,719,300,2
91117,635,333,5
91118,894,536,5
91119,406,210,5
91120,546,665,2
91121,903,684,3
91122,865,473,3
91123,634,1162,1
91124,569,333,3
91125,64,496,5
91126,894,736,4
91127,151,173,5
91128,548,293,4
91129,307,269,4
91130,892,194,4
91131,280,318,5
91132,74,358,2
91133,780,4,3
91134,889,203,2
91135,728,323,3
91136,864,258,5
91137,862,196,5
91138,33,300,4
91139,878,923,3
91140,938,1061,4
91141,890,194,5
91142,747,174,5
91143,447,762,3
91144,642,432,2
91145,583,195,4
91146,669,195,2
91147,751,204,4
91148,95,648,3
91149,866,896,2
91150,851,818,2
91151,805,597,3
91152,847,419,3
91153,823,231,3
91154,236,521,3
91155,823,128,2
91156,478,204,4
91157,497,928,3
91158,608,340,4
91159,542,22,3
91160,894,1005,5
91161,901,636,2
91162,811,988,4
91163,678,277,3
91164,151,28,4
91165,677,740,1
91166,743,408,4
91167,532,1240,2
91168,916,168,4
91169,890,484,3
91170,758,96,5
91171,877,690,4
91172,799,321,4
91173,672,181,3
91174,639,949,3
91175,881,409,4
91176,766,375,2
91177,190,24,3
91178,936,3,4
91179,539,56,2
91180,766,609,3
91181,757,164,3
91182,296,696,4
91183,398,97,4
91184,932,205,5
91185,935,9,1
91186,747,653,5
91187,892,659,4
91188,181,544,1
91189,878,64,5
91190,903,154,4
91191,891,924,5
91192,391,98,4
91193,393,652,3
91194,121,458,1
91195,883,275,4
91196,921,1051,3
91197,194,199,4
91198,898,312,2
91199,64,347,3
91200,648,576,4
91201,776,444,2
91202,877,302,2
91203,807,998,3
91204,398,135,3
91205,471,1219,4
91206,824,259,4
91207,738,225,3
91208,429,796,3
91209,102,1,3
91210,407,219,4
91211,498,337,4
91212,343,1117,3
91213,774,530,5
91214,100,751,4
91215,819,177,4
91216,787,313,5
91217,828,475,4
91218,921,1287,1
91219,778,216,3
91220,880,1017,3
91221,683,354,3
91222,930,106,4
91223,13,515,2
91224,465,836,3
91225,769,1093,3
91226,746,720,3
91227,880,470,4
91228,466,241,5
91229,868,327,4
91230,882,199,5
91231,327,183,3
91232,864,235,5
91233,913,596,1
91234,796,486,5
91235,523,1121,5
91236,363,301,3
91237,770,268,5
91238,907,50,4
91239,543,796,3
91240,378,660,4
91241,872,290,2
91242,840,175,4
91243,100,271,3
91244,860,321,3
91245,745,9,4
91246,646,1313,3
91247,943,31,4
91248,903,87,4
91249,787,286,3
91250,89,173,5
91251,932,195,4
91252,697,9,4
91253,406,294,3
91254,916,971,4
91255,424,300,2
91256,504,168,5
91257,148,173,5
91258,13,9,3
91259,903,60,4
91260,523,531,5
91261,682,27,3
91262,642,208,5
91263,681,292,4
91264,911,374,1
91265,429,80,3
91266,936,121,4
91267,938,1152,3
91268,880,310,3
91269,650,257,3
91270,889,651,4
91271,916,569,2
91272,916,97,4
91273,275,679,3
91274,234,447,3
91275,919,294,3
91276,561,928,2
91277,916,1101,4
91278,94,226,2
91279,807,543,2
91280,684,83,5
91281,854,411,2
91282,669,111,4
91283,912,661,2
91284,919,271,4
91285,312,429,5
91286,927,11,5
91287,408,751,4
91288,848,153,5
91289,895,742,4
91290,883,13,4
91291,942,750,4
91292,922,204,3
91293,261,596,2
91294,872,284,3
91295,158,70,4
91296,901,1047,3
91297,618,483,5
91298,894,277,4
91299,921,194,3
91300,934,420,4
91301,899,181,3
91302,318,1030,2
91303,894,212,5
91304,843,143,2
91305,896,179,2
91306,141,1040,3
91307,746,68,4
91308,582,294,1
91309,833,517,2
91310,632,468,3
91311,693,654,3
91312,805,141,2
91313,941,408,5
91314,563,220,4
91315,774,97,2
91316,796,387,3
91317,313,559,3
91318,864,665,3
91319,881,542,1
91320,157,1016,5
91321,738,211,3
91322,901,451,4
91323,913,531,2
91324,835,485,5
91325,593,393,4
91326,99,329,4
91327,848,484,5
91328,913,474,5
91329,881,186,3
91330,456,109,3
91331,214,518,3
91332,663,1059,2
91333,933,50,4
91334,293,712,2
91335,894,125,3
91336,784,346,4
91337,917,696,5
91338,596,286,4
91339,882,820,3
91340,642,660,3
91341,894,19,4
91342,927,535,3
91343,836,523,5
91344,598,300,4
91345,831,750,4
91346,569,546,3
91347,506,692,4
91348,683,315,4
91349,754,340,2
91350,541,95,4
91351,905,301,4
91352,722,866,4
91353,894,198,4
91354,881,582,1
91355,738,109,4
91356,256,829,4
91357,409,83,3
91358,474,9,5
91359,782,890,1
91360,937,19,1
91361,629,699,3
91362,374,88,3
91363,933,578,1
91364,796,342,5
91365,883,10,5
91366,916,193,4
91367,840,615,5
91368,892,484,5
91369,742,284,3
91370,798,694,3
91371,763,515,4
91372,208,781,3
91373,455,258,5
91374,79,763,5
91375,932,148,2
91376,776,524,5
91377,655,137,4
91378,882,151,5
91379,880,1185,1
91380,378,1168,3
91381,932,189,5
91382,896,29,2
91383,175,98,5
91384,773,541,1
91385,843,170,1
91386,456,14,5
91387,933,184,1
91388,894,190,5
91389,514,222,4
91390,932,530,4
91391,756,66,4
91392,591,194,4
91393,918,855,5
91394,825,597,5
91395,774,1215,1
91396,892,70,4
91397,848,528,3
91398,918,153,1
91399,588,100,1
91400,576,7,5
91401,840,609,4
91402,938,148,3
91403,641,558,5
91404,840,855,4
91405,894,303,4
91406,615,666,2
91407,815,168,3
91408,640,175,5
91409,882,121,4
91410,303,259,3
91411,206,326,1
91412,907,25,5
91413,645,48,4
91414,859,1008,4
91415,297,1136,3
91416,865,744,4
91417,694,72,4
91418,894,978,3
91419,303,81,4
91420,267,1035,4
91421,916,79,3
91422,712,946,4
91423,625,197,5
91424,7,309,3
91425,938,7,4
91426,568,430,3
91427,643,58,4
91428,795,17,2
91429,343,715,5
91430,771,164,2
91431,820,286,4
91432,757,1,4
91433,882,258,3
91434,834,148,4
91435,788,399,3
91436,655,298,4
91437,932,134,4
91438,642,40,4
91439,727,1250,1
91440,892,69,5
91441,24,699,3
91442,848,134,5
91443,914,1259,1
91444,835,135,5
91445,747,129,5
91446,733,116,4
91447,334,1011,4
91448,677,908,4
91449,503,8,5
91450,930,523,2
91451,910,254,1
91452,913,419,5
91453,890,179,5
91454,22,998,1
91455,752,995,4
91456,777,692,5
91457,790,582,3
91458,846,521,3
91459,588,111,1
91460,790,275,4
91461,561,588,2
91462,146,342,1
91463,880,381,4
91464,716,385,1
91465,758,12,5
91466,933,627,2
91467,551,727,5
91468,716,631,5
91469,669,654,5
91470,500,82,4
91471,427,334,5
91472,838,69,4
91473,930,1,3
91474,458,1335,1
91475,872,682,3
91476,715,1188,2
91477,916,250,4
91478,710,173,3
91479,313,235,3
91480,847,1031,2
91481,290,64,4
91482,847,820,1
91483,929,135,5
91484,276,293,4
91485,795,68,3
91486,916,541,2
91487,933,38,2
91488,221,423,2
91489,880,127,5
91490,934,428,4
91491,371,204,5
91492,643,202,3
91493,459,275,4
91494,935,597,4
91495,660,298,2
91496,342,324,1
91497,881,495,5
91498,886,132,3
91499,422,7,3
91500,923,293,4
91501,834,300,3
91502,207,1170,2
91503,218,431,3
91504,708,1049,2
91505,94,690,4
91506,561,385,2
91507,655,889,3
91508,288,100,5
91509,834,181,5
91510,532,660,4
91511,497,1041,3
91512,683,914,2
91513,932,616,5
91514,883,385,1
91515,464,50,4
91516,916,161,3
91517,927,111,4
91518,916,387,4
91519,617,192,5
91520,708,676,3
91521,488,31,4
91522,435,169,5
91523,59,143,1
91524,290,357,3
91525,841,325,3
91526,181,1352,1
91527,663,319,1
91528,738,528,4
91529,112,315,5
91530,881,1228,3
91531,645,46,5
91532,935,300,4
91533,670,483,5
91534,26,282,4
91535,826,82,3
91536,936,1335,4
91537,435,627,3
91538,931,126,4
91539,805,169,4
